state	population-2017
Alabama	"4,874,747"
Alaska	"739,795"
Arizona	"7,016,270"
Arkansas	"3,004,279"
California	"39,536,653"
Colorado	"5,607,154"
Connecticut	"3,588,184"
Delaware	"961,939"
District of Columbia	"693,972"
Florida	"20,984,400"
Georgia	"10,429,379"
Hawaii	"1,427,538"
Idaho	"1,716,943"
Illinois	"12,802,023"
Indiana	"6,666,818"
Iowa	"3,145,711"
Kansas	"2,913,123"
Kentucky	"4,454,189"
Louisiana	"4,684,333"
Maine	"1,335,907"
Maryland	"6,052,177"
Massachusetts	"6,859,819"
Michigan	"9,962,311"
Minnesota	"5,576,606"
Mississippi	"2,984,100"
Missouri	"6,113,532"
Montana	"1,050,493"
Nebraska	"1,920,076"
Nevada	"2,998,039"
New Hampshire	"1,342,795"
New Jersey	"9,005,644"
New Mexico	"2,088,070"
New York	"19,849,399"
North Carolina	"10,273,419"
North Dakota	"755,393"
Ohio	"11,658,609"
Oklahoma	"3,930,864"
Oregon	"4,142,776"
Pennsylvania	"12,805,537"
Rhode Island	"1,059,639"
South Carolina	"5,024,369"
South Dakota	"869,666"
Tennessee	"6,715,984"
Texas	"28,304,596"
Utah	"3,101,833"
Vermont	"623,657"
Virginia	"8,470,020"
Washington	"7,405,743"
West Virginia	"1,815,857"
Wisconsin	"5,795,483"
Wyoming	"579,315"
