fips,state,clinton,trump,johnson,stein,mcmullin,electoral_votes,eligible_population
01,Alabama,729547,1318255,44467,9391,,9,3606103
02,Alaska,116454,163387,18725,5735,,3,519501
04,Arizona,1161167,1252401,106327,34345,,11,4738332
05,Arkansas,380494,684872,29518,9837,13069,6,2148441
06,California,8753788,4483810,478500,278657,,55,25278803
08,Colorado,1338870,1202484,144121,38437,26779,9,3978892
09,Connecticut,897572,673215,48051,22841,,7,2572337
10,Delaware,235603,185127,14757,6103,,3,693659
11,District of Columbia,282830,12723,4906,4258,,3,516771
12,Florida,4504975,4617886,207043,64399,,29,14601373
13,Georgia,1877963,2089104,125306,0,,16,6958725
15,Hawaii,266891,128847,15954,12737,,4,1029072
16,Idaho,189765,409055,28331,8496,46538,4,1161211
17,Illinois,3090729,2146015,209596,76802,,20,8983758
18,Indiana,1033126,1557286,133993,,,11,4860929
19,Iowa,653669,800983,59186,11479,12267,6,2297129
20,Kansas,427005,671018,55406,23506,,6,2065761
21,Kentucky,628854,1202971,53752,13913,22780,8,3276707
22,Louisiana,780154,1178638,37978,14031,8546,8,3391431
23,Maine,357735,335593,38105,14251,,4,1058306
24,Maryland,1677928,943169,79605,35945,,10,4202282
25,Massachusetts,1995196,1090893,138018,47661,,11,4978165
26,Michigan,2268839,2279543,172136,51463,,16,7431589
27,Minnesota,1367716,1322951,112972,36985,53080,10,3972330
28,Mississippi,485131,700714,14435,3731,,6,2177349
29,Missouri,1071068,1594511,97359,25419,,10,4519978
30,Montana,177709,279240,28037,7970,,3,803833
31,Nebraska,284494,495961,38946,8775,,5,1353558
32,Nevada,539260,512058,37384,,,6,1970426
33,New Hampshire,348526,345790,30777,6496,,4,1041147
34,New Jersey,2148278,1601933,72477,37772,,14,6093144
35,New Mexico,385234,319667,74541,9879,5714,5,1459901
36,New York,4556124,2819534,176598,107934,,29,13693128
37,North Carolina,2189316,2362631,130126,,,15,7317507
38,North Dakota,93758,216794,21434,3780,,3,582534
39,Ohio,2394164,2841005,174498,46271,,18,8753269
40,Oklahoma,420375,949136,83481,,,7,2792423
41,Oregon,1002106,782403,94231,50002,,7,3006638
42,Pennsylvania,2926441,2970733,146715,49941,,20,9737690
44,Rhode Island,252525,180543,14746,6220,,4,786111
45,South Carolina,855373,1155389,49204,13034,20795,9,3702997
46,South Dakota,117458,227721,20850,,,3,632098
47,Tennessee,870695,1522925,70397,15993,,11,4900137
48,Texas,3877868,4685047,283492,71558,,38,17514961
49,Utah,310676,515231,39608,9438,243690,6,1993581
50,Vermont,178573,95369,10078,6758,,3,496439
51,Virginia,1981473,1769443,118274,27638,54054,13,6061032
53,Washington,1742718,1221747,160879,58417,,12,5123524
54,West Virginia,188794,489371,23004,8075,,5,1430308
55,Wisconsin,1382536,1405284,106674,31072,,10,4295057
56,Wyoming,55973,174419,13287,2515,,3,431011
