Summary_Level,State_Code_FIPS,County_Code_FIPS,Area_Name
010,00,000,United States
040,01,000,Alabama
050,01,001,Autauga County
050,01,003,Baldwin County
050,01,005,Barbour County
050,01,007,Bibb County
050,01,009,Blount County
050,01,011,Bullock County
050,01,013,Butler County
050,01,015,Calhoun County
050,01,017,Chambers County
050,01,019,Cherokee County
050,01,021,Chilton County
050,01,023,Choctaw County
050,01,025,Clarke County
050,01,027,Clay County
050,01,029,Cleburne County
050,01,031,Coffee County
050,01,033,Colbert County
050,01,035,Conecuh County
050,01,037,Coosa County
050,01,039,Covington County
050,01,041,Crenshaw County
050,01,043,Cullman County
050,01,045,Dale County
050,01,047,Dallas County
050,01,049,DeKalb County
050,01,051,Elmore County
050,01,053,Escambia County
050,01,055,Etowah County
050,01,057,Fayette County
050,01,059,Franklin County
050,01,061,Geneva County
050,01,063,Greene County
050,01,065,Hale County
050,01,067,Henry County
050,01,069,Houston County
050,01,071,Jackson County
050,01,073,Jefferson County
050,01,075,Lamar County
050,01,077,Lauderdale County
050,01,079,Lawrence County
050,01,081,Lee County
050,01,083,Limestone County
050,01,085,Lowndes County
050,01,087,Macon County
050,01,089,Madison County
050,01,091,Marengo County
050,01,093,Marion County
050,01,095,Marshall County
050,01,097,Mobile County
050,01,099,Monroe County
050,01,101,Montgomery County
050,01,103,Morgan County
050,01,105,Perry County
050,01,107,Pickens County
050,01,109,Pike County
050,01,111,Randolph County
050,01,113,Russell County
050,01,115,St. Clair County
050,01,117,Shelby County
050,01,119,Sumter County
050,01,121,Talladega County
050,01,123,Tallapoosa County
050,01,125,Tuscaloosa County
050,01,127,Walker County
050,01,129,Washington County
050,01,131,Wilcox County
050,01,133,Winston County
040,02,000,Alaska
050,02,013,Aleutians East Borough
050,02,016,Aleutians West Census Area
050,02,020,Anchorage Municipality
050,02,050,Bethel Census Area
050,02,060,Bristol Bay Borough
050,02,068,Denali Borough
050,02,070,Dillingham Census Area
050,02,090,Fairbanks North Star Borough
050,02,100,Haines Borough
050,02,105,Hoonah-Angoon Census Area
050,02,110,Juneau City and Borough
050,02,122,Kenai Peninsula Borough
050,02,130,Ketchikan Gateway Borough
050,02,150,Kodiak Island Borough
050,02,158,Kusilvak Census Area
050,02,164,Lake and Peninsula Borough
050,02,170,Matanuska-Susitna Borough
050,02,180,Nome Census Area
050,02,185,North Slope Borough
050,02,188,Northwest Arctic Borough
050,02,195,Petersburg Borough
050,02,198,Prince of Wales-Hyder Census Area
050,02,220,Sitka City and Borough
050,02,230,Skagway Municipality
050,02,240,Southeast Fairbanks Census Area
050,02,261,Valdez-Cordova Census Area
050,02,275,Wrangell City and Borough
050,02,282,Yakutat City and Borough
050,02,290,Yukon-Koyukuk Census Area
040,04,000,Arizona
050,04,001,Apache County
050,04,003,Cochise County
050,04,005,Coconino County
050,04,007,Gila County
050,04,009,Graham County
050,04,011,Greenlee County
050,04,012,La Paz County
050,04,013,Maricopa County
050,04,015,Mohave County
050,04,017,Navajo County
050,04,019,Pima County
050,04,021,Pinal County
050,04,023,Santa Cruz County
050,04,025,Yavapai County
050,04,027,Yuma County
040,05,000,Arkansas
050,05,001,Arkansas County
050,05,003,Ashley County
050,05,005,Baxter County
050,05,007,Benton County
050,05,009,Boone County
